lon,lat,locode
-98.58110046,29.38419914,US SAT
106.819833,47.646916,
22.97089958190918,40.51969909667969,GR THR
19.2519,42.359402,
103.1029968261719,5.38263988494873,
53.8046989440918,63.56689834594727,RU UCT
5.207190036773682,12.91629981994629,
21.621401,41.961601,MK ILI
74.363892,32.535557,PK SMB
24.41250038146973,46.46770095825195,RO UN7
45.21225738525391,54.12512969970703,
73.89610290530001,24.6177005768,
-65.4861984253,-24.8560009003,
-111.979746,40.785749,US SLC
66.93779754638672,30.25139999389648,
19.13409996032715,48.63779830932617,
-87.21720123291016,14.06089973449707,HN TGU
55.874401092529,54.557498931885,
-93.0224990845,16.5636005402,
105.467778,19.901667,
60.64170074462891,41.58430099487305,
54.09130096435547,17.03870010375977,
-97.6521987915039,38.79100036621094,US SLN
-100.930999756,22.2542991638,
51.31340026855469,35.68920135498047,IR THR
-60.992901,14.0202,
-68.7032012939,76.5311965942,
109.042,13.955,
66.61100006103516,66.5907974243164,
19.7206001282,41.4146995544,
-78.3575,-0.129166666667,
-4.167789936065674,47.97499847412109,FR PUA
40.543442,21.483001,
-121.5910034179688,38.69540023803711,
26.91169929504395,37.68999862670898,
108.433,30.8017,
119.627998,23.568701,
119.5540008544922,-5.061629772186279,
82.493477,50.036571,
-102.039001,19.3967,
51.54309844970703,51.15079879760742,
33.57462,44.691822,UA SVP
87.47419738769531,43.90710067749024,
59.281258,32.896525,
105.690931,-10.449382,
4.206111,48.773333,FR HSS
38.128889,26.48,
36.29560089111328,51.7505989074707,
99.135597229,9.13259983063,
106.766998,47.843102,MN ULN
9.835556030273438,53.5352783203125,DE HTJ
-68.2958,-54.8433,AR USH
100.06199646,9.547789573669998,
48.2267,54.268299,
108.751999,34.447102,CN XYA
129.352005005,35.59349823,
51.3149986267,25.1173000336,
48.8027,54.401001,
29.47170066833496,38.68149948120117,TR USA
20.282800674438,63.791801452637,SE UME
102.788002014,17.3864002228,
118.1279983520508,24.54400062561035,
21.2602005005,-28.39909935,
46.090099,30.935801,
-61.411945,12.600135,
102.040157,36.528295,
101.004997253418,12.67990016937256,
-87.621201,14.3824,HN CMY
29.953058,31.192545,
107.439652,51.808614,RU UUD
142.717466,46.885461,RU UUS
-6.06011,36.744598,ES JRZ
72.63469696039999,23.0771999359,
-60.952599,13.7332,
35.9931983948,31.7226009369,
103.86673,1.41555,SG SLT
4.76389,52.308601,NL SPL
24.9562,12.0535,
117.555278,34.059056,CN XZH
109.590927,38.35971,
34.955513,-1.27156,
-149.996002,61.1744,
